 403 ( 193): AutopilotZoomPriority
 404 ( 194): Speed
 405 ( 195): Direction
 406 ( 196): Arrived
 407 ( 197): xThrust
 408 ( 198): yThrust
 409 ( 199): MaxThrust
 410 ( 19A): xSpeedDesired
 411 ( 19B): ySpeedDesired
 412 ( 19C): Parent
 413 ( 19D): StoppingDistance
 414 ( 19E): StopDirection
 415 ( 19F): xDifferenceAchieved
 416 ( 1A0): yDifferenceAchieved
 417 ( 1A1): AutopilotModeZoomPriority
 418 ( 1A2): FactionIndex
 419 ( 1A3): Secured
 420 ( 1A4): Intent
 421 ( 1A5): HeadingToStation
 422 ( 1A6): StationCount
 423 ( 1A7): Stations
 424 ( 1A8): BlackBoxCount
 425 ( 1A9): BlackBoxText
 426 ( 1AA): ShowFullLog
 427 ( 1AB): ShowLogCount
 428 ( 1AC): StandardShowTime
 429 ( 1AD): HUD
 430 ( 1AE): ShowLogTime
 431 ( 1AF): ShowLogX
 432 ( 1B0): ShowLogY
 433 ( 1B1): ShowLogText
 434 ( 1B2): GUIx
 435 ( 1B3): GUIy
 436 ( 1B4): Object
 437 ( 1B5): Controlling
 438 ( 1B6): MyImageAngle
 439 ( 1B7): JauntyViewRotationOffset
 440 ( 1B8): KeyboardDirectionsRotatedBy
 441 ( 1B9): MyBuilding
 442 ( 1BA): ViewTwistStrength
 443 ( 1BB): CameraDistance
 444 ( 1BC): PositionsUpdated
 445 ( 1BD): SetFullscreenDelay
 446 ( 1BE): InitialSetFullscreen
 447 ( 1BF): PanFactor
 448 ( 1C0): PanDirection
 449 ( 1C1): SecondsToShowCollisionGrid
 450 ( 1C2): ShakeOffsetX
 451 ( 1C3): ShakeOffsetY
 452 ( 1C4): GalaxySurfaceVanishingViewSize
 453 ( 1C5): GalaxySurfaceFullViewSize
 454 ( 1C6): AutoPan
 455 ( 1C7): SectorX
 456 ( 1C8): SectorY
 457 ( 1C9): CameraMinSectorX
 458 ( 1CA): CameraMaxSectorX
 459 ( 1CB): CameraMinSectorY
 460 ( 1CC): CameraMaxSectorY
 461 ( 1CD): SecondsInManualZoomMode
 462 ( 1CE): StraightenViewFrom
 463 ( 1CF): StraightenViewBy
 464 ( 1D0): ObjectPanningSpeed
 465 ( 1D1): InteriorViewSize
 466 ( 1D2): InteriorViewSizePower
 467 ( 1D3): NormalMaxViewSizePower
 468 ( 1D4): NormalMaxViewSize
 469 ( 1D5): NormalMinViewSizePower
 470 ( 1D6): MaxViewSizePower
 471 ( 1D7): MaxViewSize
 472 ( 1D8): MinViewSizePower
 473 ( 1D9): MapViewSize
 474 ( 1DA): TargetViewSizePower
 475 ( 1DB): ViewSizeChangeRate
 476 ( 1DC): ViewSizeIncreaseAcceleration
 477 ( 1DD): ViewSizeDecreaseAcceleration
 478 ( 1DE): ZoomPriority
 479 ( 1DF): LastZoomPriority
 480 ( 1E0): ManualZoomMode
 481 ( 1E1): LeavingManualZoomMode
 482 ( 1E2): ManualViewSizePower
 483 ( 1E3): TemporaryViewObject
 484 ( 1E4): OriginalViewSize
 485 ( 1E5): TemporaryZoomDuration
 486 ( 1E6): TemporaryZoomTimeLeft
 487 ( 1E7): FloatingZoomPriority
 488 ( 1E8): ManualZoomPriority
 489 ( 1E9): TravelZoomPriority
 490 ( 1EA): ShipApproachZoomPriority
 491 ( 1EB): DockingZoomPriority
 492 ( 1EC): MatchTargetZoomPriority
 493 ( 1ED): ShipTargetZoomPriority
